
) Columns are sample number, lab number, and bacteria count/ml.
)"%lf %lf %lf"
            1            1         2200
            2            1         3000
            3            1          210
            4            1          270
            1            1         2200
            2            1         2900
            3            1          200
            4            1          260
            1            2         2600
            2            2         3600
            3            2          290
            4            2          360
            1            2         2500
            2            2         3500
            3            2          240
            4            2          380
            1            3         1900
            2            3         2500
            3            3          160
            4            3          230
            1            3         2100
            2            3         2200
            3            3          200
            4            3          230
            1            4         2600
            2            4         2800
            3            4          330
            4            4          350
            1            4         4300
            2            4         1800
            3            4          340
            4            4          290
            1            5         4000
            2            5         4800
            3            5          370
            4            5          500
            1            5         3900
            2            5         4800
            3            5          340
            4            5          480
