Mission,Mission Size,Radar Mode,Shot Range,Aspect Angle,Quadrant Elevation,Radar-to-Weapon Range,Bore Angle,Munition,Fire Rate,Detection
1,6,360 degree Normal,930.123901241283,39.235889127119705,910.2137887989894,24596.23470089649,183.1605079237681,Artillery,Single Fire,1
1,6,360 degree Normal,930.123901241283,39.235889127119705,910.2137887989894,24596.23470089649,183.1605079237681,Artillery,Single Fire,0
1,6,360 degree Normal,930.123901241283,39.235889127119705,910.2137887989894,24596.23470089649,183.1605079237681,Artillery,Single Fire,0
1,6,360 degree Normal,930.123901241283,39.235889127119705,910.2137887989894,24596.23470089649,183.1605079237681,Artillery,Single Fire,1
1,6,360 degree Normal,930.123901241283,39.235889127119705,910.2137887989894,24596.23470089649,183.1605079237681,Artillery,Single Fire,1
1,6,360 degree Normal,930.123901241283,39.235889127119705,910.2137887989894,24596.23470089649,183.1605079237681,Artillery,Single Fire,1
2,9,90 degree Normal,3427.9345599352646,18.51558793071628,1197.030777021802,18512.92910795221,521.4246528164231,Rocket,Single Fire,1
2,9,90 degree Normal,3427.9345599352646,18.51558793071628,1197.030777021802,18512.92910795221,521.4246528164231,Rocket,Single Fire,0
2,9,90 degree Normal,3427.9345599352646,18.51558793071628,1197.030777021802,18512.92910795221,521.4246528164231,Rocket,Single Fire,1
2,9,90 degree Normal,3427.9345599352646,18.51558793071628,1197.030777021802,18512.92910795221,521.4246528164231,Rocket,Single Fire,0
2,9,90 degree Normal,3427.9345599352646,18.51558793071628,1197.030777021802,18512.92910795221,521.4246528164231,Rocket,Single Fire,1
2,9,90 degree Normal,3427.9345599352646,18.51558793071628,1197.030777021802,18512.92910795221,521.4246528164231,Rocket,Single Fire,1
2,9,90 degree Normal,3427.9345599352646,18.51558793071628,1197.030777021802,18512.92910795221,521.4246528164231,Rocket,Single Fire,1
2,9,90 degree Normal,3427.9345599352646,18.51558793071628,1197.030777021802,18512.92910795221,521.4246528164231,Rocket,Single Fire,1
2,9,90 degree Normal,3427.9345599352646,18.51558793071628,1197.030777021802,18512.92910795221,521.4246528164231,Rocket,Single Fire,1
3,13,90 degree Short range,3331.3304356762515,24.102934711179323,555.5491399233655,19503.80710625055,361.7054695094316,Rocket,Single Fire,1
3,13,90 degree Short range,3331.3304356762515,24.102934711179323,555.5491399233655,19503.80710625055,361.7054695094316,Rocket,Single Fire,1
3,13,90 degree Short range,3331.3304356762515,24.102934711179323,555.5491399233655,19503.80710625055,361.7054695094316,Rocket,Single Fire,1
3,13,90 degree Short range,3331.3304356762515,24.102934711179323,555.5491399233655,19503.80710625055,361.7054695094316,Rocket,Single Fire,1
3,13,90 degree Short range,3331.3304356762515,24.102934711179323,555.5491399233655,19503.80710625055,361.7054695094316,Rocket,Single Fire,0
3,13,90 degree Short range,3331.3304356762515,24.102934711179323,555.5491399233655,19503.80710625055,361.7054695094316,Rocket,Single Fire,1
3,13,90 degree Short range,3331.3304356762515,24.102934711179323,555.5491399233655,19503.80710625055,361.7054695094316,Rocket,Single Fire,1
3,13,90 degree Short range,3331.3304356762515,24.102934711179323,555.5491399233655,19503.80710625055,361.7054695094316,Rocket,Single Fire,1
3,13,90 degree Short range,3331.3304356762515,24.102934711179323,555.5491399233655,19503.80710625055,361.7054695094316,Rocket,Single Fire,1
3,13,90 degree Short range,3331.3304356762515,24.102934711179323,555.5491399233655,19503.80710625055,361.7054695094316,Rocket,Single Fire,1
3,13,90 degree Short range,3331.3304356762515,24.102934711179323,555.5491399233655,19503.80710625055,361.7054695094316,Rocket,Single Fire,1
3,13,90 degree Short range,3331.3304356762515,24.102934711179323,555.5491399233655,19503.80710625055,361.7054695094316,Rocket,Single Fire,1
